## Sheet: Forecast
 |  | Power Grid Bangladesh PLC
 |  | National Load Dispatch Center (NLDC)
 |  | Forecasted Generation & Demand of National Grid
 | Date : | 28-06-2026
Sl. | Name of the
 Power Station | Fuel | Producer | Installed Capacity |  | Present Capacity | Actual Generation on |  | Forecasted Available Gen. on |  | Effective Available Gen. on |  | Remarks
 |  |  |  |  |  |  | 27-06-2026 | during | 28-06-2026 | during | 28-06-2026 | during
 |  |  |  |  |  |  | Day Peak | Ev. Peak | Day Peak | Ev. Peak | Day Peak | Ev. Peak
 |  |  |  | Unit No. X Capacity | MW | MW | MW | MW | MW | MW | MW | MW
 | 97 | Bibiana-II 341 MW CCPP (Summit) |  | IPP | 1*222+1*119 | 341 | 310 | 7592000 | FGMO
 | 98 | Bibiyana-III 400 MW CCPP |  | PDB | 285*1+134*1 | 400 | 319 | 7175000 | Machine Problem
 | 99 | Bibiyana South 400 MW |  | PDB | 1*400 | 383 | 0 | 0 | Under Maintenance
 | Sylhet Area Total |  |  |  |  | 2325 | 1177 | 27038220.55
 | 100 | Bheramara GTPP Unit-3 |  | PDB | 1X20 | 16 | 0 | 0 | Contract Expired
 | ** | Bheramara (HVDC ) |  | Import | 2X500 | 1000 | 798 | 21065455 | -
 | 101 | Faridpur 50 MW Peaking PP |  | PDB | 8*6.89 | 54 | 0 | 0 | Engine Problem
 | 102 | Khulna 225 MW CCPP |  | NWPGCL | 1X150+1X75 | 230 | 0 | 0 | -
 | 103 | Gopalganj 100 MW Peaking PP |  | PDB | 16*6.98 | 109 | 35 | 720896 | Liquid fuel shortage
 | 104 | Bheramara 410 MW CCPP |  | NWPGCL | 1X278+1X132 | 410 | 0 | 0 | Gas shortage
 | 105 | Rupsha 105 MW PP (Orion rupsha) |  | IPP | 6*18.445 | 105 | 0 | 0 | Liquid fuel shortage
 | 106 | Madhumati 100 MW PP |  | NWPGCL | 6*18 | 105 | 15 | 40896 | Liquid fuel shortage
 | 107 | Mongla Orion 100 MW Solar PP |  | IPP | 100 | 100 | 0 | 668160 | -
 | 108 | Khulna 330 MW CCPP |  | PDB | 1*220+1*110 | 336 | 151 | 685727 | -
 | 109 | Rampal 1320 MW (BIFPCL) |  | PDB | 660*2 | 1234.2 | 450 | 16399997 | U#2 under shutdown
 | ** | HVDC(Nepal) |  | Import | 1*40 | 40 | 38 | 912000 | -
 | Khulna Area Total |  |  |  |  | 3739.2 | 1487 | 40493131
 |  | Patuakhali 1320 MW (RNPL) |  | RNPL | 660*2 | 1244 | 1000 | 22509090 | AGC
 | 110 | Barisal 110 MW PP (Summit ) |  | IPP | 7X17.076 | 110 | 48 | 751391 | Liquid fuel shortage
 | 111 | Bhola  33 MW PP (Venture) |  | NENP | 1X34.50 | 11.04 | 0 | 0 | Contract Expired
 | 112 | Bhola 225 MW  CCPP |  | PDB | 2X63+1X68 | 194 | 65 | 1526000 | GT-1 & ST under maint
 | 113 | Payra 1320 MW |  | BCPCL | 2*622 | 1244 | 1165 | 28219636.36 | FGMO
 | 114 | Bhola Nutan Biddut BD LTD |  | IPP | 2*75+1*75 | 220 | 220 | 5248230 | MVAR Subjected to Grid Voltage
 | 115 | United Payra Power Ltd. |  | IPP | 8*18.5+1*9.5 | 150 | 17 | 415200 | Liquid fuel shortage
 | 116 | Barisal 307 MW |  | BCPCL | 307X1 | 307 | 284 | 6698000 | -
 | 117 | Barisal 1 MW Solar Plant |  | IPP | 0 | 1 | 0 | 3955 | -
 | Barishal Area Total |  |  |  |  | 3481.04 | 2799 | 65371502.36
 |  | Pabna 64 MW Solar Plant |  | PDB | 11*6.6 | 64.55 | 0 | 399656 | Contract Expired
 | 118 | Baghabari 71 MW GTPP |  | PDB | 1X71 | 70 | 0 | 0 | Gas shortage
 |  | Baghabari  100 MW GTPP |  | PDB | 1*100 | 100 | 0 | 0 | Machine Under Maintenance
 | 119 | Baghabari  50 MW Peaking PP |  | PDB | 6*8.9 | 52 | 47 | 178090 | Liquid fuel shortage
 | 120 | Bera 70 MW Peaking PP |  | PDB | 9*8.29 | 71 | 10 | 36119 | Engine Problem
 | 122 | Katakhali 50 MW Peaking PP |  | PDB | 6*8.7 | 50 | 25 | 403635 | Partial Shutdown due to maintenance
 | 123 | Sirajgonj 225MW CCPP Unit-1 |  | NWPGCL | 1*150+1*75 | 214 | 166 | 1256636 | Minor Inspection
 | 124 | Sirajgonj 225MW CCPP Unit-2 |  | NWPGCL | 1*150+1*75 | 220 | 50 | 3871764 | Gas shortage
 | 125 | Sirajgonj 225MW CCPP Unit-3 |  | NWPGCL | 1*141 | 220 | 165 | 4487927 | Gas shortage
 | 126 | Sirajgonj 400 MW CCPP Unit-4 |  | NWPGCL | 1*282+1*132 | 413.792 | 377 | 9363927 | AGC
 | 127 | Santahar  50 MW Peaking PP |  | PDB | 6*8.7 | 50 | 0 | 49458 | Engine Problem
 | 129 | Natore 52 MW PP (Rajlanka) |  | IPP | 6*8.92 | 52.2 | 0 | 0 | Liquid fuel shortage
 | 130 | Chapainawabganj 100 MW Peaking PP |  | PDB | 12*8.924 | 104 | 83 | 483488 | Liquid fuel shortage
 | 131 | Bagura 113 MW PP (Confidence)-2 |  | IPP | 6*18.55+7.2 | 113 | 50 | 549984 | Liquid fuel shortage
 | 132 | Bagura 113 MW PP (Confidence)-1 |  | IPP | 6*18.55 | 113 | 35 | 439968 | Liquid fuel shortage
 | 133 | Sirajgonj 6.55 MW Solar |  | NWPGCL | 0 | 6.12 | 0 | 36420 | -
 | ** | Adani Power Jharkhanda Ltd |  | Import | 2*673 | 1469.13 | 1476.39 | 35410909 | FGMO
 | 134 | Sirajganj 68 MW Solar Park |  | IPP | 0 | 68 | 0 | 375728 | -
 |  | Pabna Solar 100 MW |  | IPP | 0 | 100 | 0 | 783030 | -
 |  | Sirajganj 2 MW Wind Power Plant |  | PDB | 0.25*8 | 2 | 0 | 0 | Contract Expired
 | Rajshahi Area Total |  |  |  |  | 3552.792 | 2484.39 | 58126739
 |  | Saidpur 150 MW Simple Cycle Power Plant |  | PDB | 1*150 | 162.443 | 0 | 0 | -
 | 135 | Barapukuria TPP Unit-1 & 2 |  | PDB | 1*125+1*125 | 170 | 37 | 853091 | U-2 Under maint.
 | 136 | Barapukuria 275 MW TPP Unit-3 |  | PDB | 1*275 | 274 | 180 | 4594000 | machine problem
 | 137 | Rangpur 20 MW  GTPP |  | PDB | 1*20 | 20 | 0 | 0 | -
 | 138 | Saidpur 20 MW GTPP |  | PDB | 1*20 | 20 | 0 | 0 | -
 | 139 | Rangpur 113 MW PP (Confidence) |  | IPP | 9*6.984+7*7.015+3.15*2 | 113 | 34 | 375120 | Liquid fuel shortage
 | 140 | Sympa Solar Power 8 MW |  | IPP | 0 | 8 | 0 | 33925.56 | -
 | 141 | Energypac Power Venture Thakurgaon Ltd. |  | IPP | 0 | 115 | 95 | 2293643 | Liquid fuel shortage
 | 142 | Intraco Solar 30 MW |  | IPP | 1*30 | 30 | 0 | 190437 | -
 | 143 | Teesta Solar Limited |  | BCPCL | 0 | 200 | 0 | 984240 | -
 | Rangpur Area Total |  |  |  |  | 1112.443 | 346 | 9324456.56
 | Eastern Grid Total |  |  |  |  | 17438.042 | 8181.86 | 166873745.54
 | Western Grid Total |  |  |  |  | 11885.475 | 7116.39 | 173315828.92
 | National Grid Total |  |  |  |  | 29323.517 | 15298.25 | 340189574.46
 | *Data collected from respective power station via Operation Information System(OIS) software.
 |  |  |  |  |  |  | Executive Engineer
 |  |  |  |  |  |  | Network Operation Division
## Sheet: P3
 |  |  |  | Power Grid Bangladesh PLC
 |  |  |  | National Load Dispatch Center (NLDC)
 |  |  |  | MAXIMUM LOAD SERVED BY DIFFERENT GRID SUB-STATIONS
 |  | Date : | 27-06-2026
 |  |  | Zone Total Scenario at Evening Peak Hour (21:00 Hr.)
 | (a) ENTIRE EASTERN  GRID: |  |  | 10185.72 |  | MW | (b) ENTIRE WESTERN  GRID: |  |  |  | 4613.4 | MW
 | i) Dhaka area |  |  | 5775.42 |  | MW | i)  Khulna area |  |  |  | 1706.4 | MW
 | ii) Chattogram area |  |  | 1473.3 |  | MW | ii) Barishal area |  |  |  | 427.6 | MW
 | iii) Cumilla area |  |  | 1369 |  | MW | iii) Rajshahi area |  |  |  | 1539.4 | MW
 | iv) Mymensingh area |  |  | 1031 |  | MW | iv) Rangpur area |  |  |  | 940 | MW
 | v) Sylhet area |  |  | 537 |  | MW
 | System Total Demand at Evening Peak Hour (a + b) = |  |  |  |  |  | 14799.12 | MW
 | Sl No. | Sub-station | Load (MW) | Time | Sl No. | Sub-station | Load (MW) | Time | Sl No. | Sub-station | Load (MW) | Time
 | 1 | AKS | 0 | 00:00 | 67 | HaripurSBU | 145 | 11:00 | 133 | Narshingdi | 182 | 07:00 | 199.0 | UttaraNew | 61.0 | 23:00
 | 2 | AKSML | 116 | 15:00 | 68 | Hasnabad | 97 | 18:30 | 134 | Natore | 140 | 07:00 | 200.0 | Zigatola | 100.0 | 15:00
 | 3 | Aftabnagar | 48 | 13:00 | 69 | Hathazari | 83 | 00:00 | 135 | Nawabganj | 70.8 | 19:00
 | 4 | Agargaon | 121 | 00:00 | 70 | Hatirjheel | 42 | 13:00 | 136 | Netrakona | 108 | 23:00
 | 5 | Agrabad | 54 | 18:30 | 71 | Ishurdi | 77 | 19:30 | 137 | New | 78 | 15:00
 | 6 | Amnura | 32 | 00:00 | 72 | Jaldhaka | 71 | 23:00 | 138 | Niamatpur | 82 | 00:00
 | 7 | Ashuganj | 97 | 23:00 | 73 | Jamalpur | 98 | 22:00 | 139 | Noapara | 45 | 07:00
 | 8 | BSRM | 174 | 05:00 | 74 | Jashore | 173 | 21:00 | 140 | PHP | 14 | 12:00
 | 9 | Bagerhat | 86 | 19:30 | 75 | Jhenaidah | 98 | 21:00 | 141 | Pabna | 99 | 21:00
 | 10 | Bajitpur | 82 | 06:00 | 76 | Joydebpur | 140 | 09:00 | 142 | Palashbari | 144 | 00:00
 | 11 | Bakerganj | 15.8 | 00:00 | 77 | Joypurhat | 58 | 00:00 | 143 | Panchagarh | 77 | 19:30
 | 12 | Bakulia | 103 | 20:00 | 78 | Juldah | 19.5 | 10:00 | 144 | Patiya | 11 | 00:00
 | 13 | Banani | 60 | 12:00 | 79 | KSRM | 20 | 06:00 | 145 | Patuakhali | 73.8 | 00:00
 | 14 | Bangabhaban | 8 | 11:00 | 80 | Kabirpur | 207 | 20:00 | 146 | Payra | 38 | 00:00
 | 15 | Barapukuria | 64 | 13:00 | 81 | Kachua | 90 | 06:00 | 147 | Postogola | 68 | 23:00
 | 16 | Barguna | 28 | 19:00 | 82 | Kaliganj | 38 | 21:00 | 148 | Pubail | 36 | 07:00
 | 17 | Barishal | 104 | 00:00 | 83 | Kallyanpur | 135 | 00:00 | 149 | Purbachal | 32 | 14:00
 | 18 | Barishal-230 | 110 | 00:00 | 84 | Kalurghat | 39 | 20:00 | 150 | Purbasadipur | 140 | 13:00
 | 19 | Baroaulia | 55 | 13:00 | 85 | Kamrangirchar | 81 | 12:00 | 151 | Rahanpur | 41 | 05:00
 | 20 | Baroirhat | 67 | 22:00 | 86 | Kaptai |  |  | 152 | Rahim | 33 | 11:00
 | 21 | Bashundhara | 219 | 19:30 | 87 | Kasba | 34 | 04:00 | 153 | Rajbari | 90 | 00:00
 | 22 | BashundharaCement | 1 | 11:00 | 88 | Kazla | 123 | 16:00 | 154 | Rajendrapur | 114 | 08:00
 | 23 | Beanibazar | 66 | 05:00 | 89 | Keranigonj | 93 | 19:00 | 155 | Rajshahi | 150 | 13:00
 | 24 | Benapole | 62 | 12:00 | 90 | Khagrachori | 36 | 19:30 | 156 | Rajshahi-230 | 102 | 13:00
 | 25 | Bhaluka | 127 | 21:00 | 91 | Khulna | 58 | 12:00 | 157 | Ramganj | 102 | 00:00
 | 26 | Bhandaria | 62 | 00:00 | 92 | Khulshi | 200 | 22:00 | 158 | Rampur | 42 | 21:00
 | 27 | Bhangura | 46 | 19:30 | 93 | Kishoreganj | 123 | 18:30 | 159 | Rangamati | 15 | 11:00
 | 28 | Bheramara(GK) | 63 | 01:00 | 94 | Kodda | 295 | 21:00 | 160 | Rangpur | 126 | 00:00
 | 29 | Bhulta | 232 | 19:30 | 95 | Kulaura | 51 | 00:00 | 161 | Ruppur | 3 | 14:00
 | 30 | Bog-Sherpur | 68 | 04:00 | 96 | Kurigram | 73 | 07:00 | 162 | SSM | 0 | 00:00
 | 31 | Bogura | 202 | 22:00 | 97 | Kushtia | 156 | 18:30 | 163 | Saidpur | 107 | 22:00
 | 32 | Borhanuddin | 82 | 00:00 | 98 | Laksam | 36 | 19:00 | 164 | Santhia | 44 | 19:30
 | 33 | Brahmanbaria | 124 | 22:00 | 99 | Lakshmipur | 43 | 23:00 | 165 | Satkhira | 149 | 00:00
 | 34 | Cantonment | 140 | 13:00 | 100 | Lalbag | 78 | 19:00 | 166 | Satmasjid | 115 | 19:30
 | 35 | Chandina | 38 | 21:00 | 101 | Lalmonirhat | 64 | 05:00 | 167 | Savar | 224 | 18:30
 | 36 | Chandpur | 76 | 09:00 | 102 | MI_Cement | 14.2 | 08:00 | 168 | SevenRings | 15.38 | 11:00
 | 37 | Chandraghona | 35 | 23:00 | 103 | Madanganj | 50 | 22:00 | 169 | ShahCement | 28 | 16:00
 | 38 | Chapai | 81 | 07:00 | 104 | Madaripur | 122 | 00:00 | 170 | Shahjadpur | 76 | 18:30
 | 39 | Charfasson | 40 | 00:00 | 105 | Madartek | 94 | 23:00 | 171 | Shahjibazar | 122 | 00:00
 | 40 | Charsaidpur | 41 | 16:00 | 106 | Madunaghat | 55 | 19:30 | 172 | Shahmirpur | 47 | 22:00
 | 41 | Chauddagram | 65 | 00:00 | 107 | Magura | 62 | 06:00 | 173 | Shariatpur | 99 | 01:00
 | 42 | Chhatak | 32 | 00:00 | 108 | Mahasthangarh | 74 | 06:00 | 174 | Sherpur | 126 | 22:00
 | 43 | Chowmuhani | 157 | 22:00 | 109 | Maijdee | 38 | 05:00 | 175 | Shikalbaha | 30 | 21:00
 | 44 | Chuadanga | 132 | 12:00 | 110 | Manikganj | 118 | 13:00 | 176 | Shitalakhya | 84.6 | 16:00
 | 45 | Coxsbazar | 138 | 00:00 | 111 | Maniknagar | 80 | 23:00 | 177 | Sholosohor | 44 | 19:00
 | 46 | Cumilla(N) | 119 | 19:00 | 112 | Matarbari | 50 | 04:00 | 178 | Shomvuganj | 28 | 21:00
 | 47 | Cumilla(S) | 193 | 16:00 | 113 | Matuail | 78 | 12:00 | 179 | Shyampur | 190 | 13:00
 | 48 | Daganbhuiyan | 36 | 20:00 | 114 | Metrorail_Motijheel | 22 | 10:00 | 180 | Siddhirganj | 142 | 15:00
 | 49 | Daudkandi | 143 | 08:00 | 115 | Metrorail_Uttara | 0 | 00:00 | 181 | Sirajganj | 128 | 21:00
 | 50 | DhakaUniversity | 86 | 13:00 | 116 | Millgate | 138 | 15:00 | 182 | Sitakunda | 21 | 21:00
 | 51 | Dhamrai | 93 | 20:00 | 117 | Mirpur | 170 | 19:30 | 183 | Sonargaon | 101 | 16:00
 | 52 | Dhanmondi | 121.5 | 13:00 | 118 | Mirsorai | 43 | 13:00 | 184 | Sreemongol | 70 | 04:00
 | 53 | Dohazari | 92 | 01:00 | 119 | Mirzapur | 35 | 19:00 | 185 | Sreepur | 129 | 18:30
 | 54 | Faridpur | 184 | 00:00 | 120 | Mithapukur | 72 | 08:00 | 186 | Srinagar | 57.97 | 19:00
 | 55 | Fatullah | 107 | 10:00 | 121 | Modern |  |  | 187 | Sunamganj | 47 | 23:00
 | 56 | Fenchuganj | 43 | 21:00 | 122 | Mogbazar | 105.4 | 12:00 | 188 | Sylhet | 127 | 22:00
 | 57 | Feni | 100 | 00:00 | 123 | Mongla | 42 | 19:30 | 189 | Sylhet_(South) | 64 | 18:00
 | 58 | GPH | 4 | 15:00 | 124 | Motijheel | 52 | 13:00 | 190 | TK | 25 | 01:00
 | 59 | Ghatail | 72 | 21:00 | 125 | Muktagacha | 41 | 14:00 | 191 | Tangail | 170 | 22:00
 | 60 | Ghorashal | 0 | 00:00 | 126 | Munshiganj | 112 | 07:00 | 192 | Taraganj | 25 | 13:00
 | 61 | Ghorashal-230 | 118 | 18:30 | 127 | Muradnagar | 45 | 06:00 | 193 | Tasnim | 38 | 18:00
 | 62 | Goalpara | 39 | 03:00 | 128 | Mymensingh | 181 | 22:00 | 194 | Thakurgaon | 93 | 00:00
 | 63 | Gollamari | 124 | 00:00 | 129 | Nabinagar | 126 | 11:00 | 195 | Tongi | 147 | 11:00
 | 64 | Gopalganj | 123.4 | 00:00 | 130 | Naogaon | 140 | 14:00 | 196 | Ullahpara | 38 | 14:00
 | 65 | Gulshan | 116 | 13:00 | 131 | Narail | 63 | 22:00 | 197 | Ullon | 65 | 23:00
 | 66 | Halishahar | 107 | 16:00 | 132 | Narinda | 76 | 13:00 | 198 | Uttara | 106 | 16:00
 |  | Sub-Divisional Engineer |  |  |  | Executive Engineer |  |  |  | Superintendent Engineer
 |  | Network Operation Division |  |  |  | Network Operation Division |  |  |  | Network Operation Division
 | (1) Honbl. Advisor |  | (4) Chairman,BERC |  |  | (9) Member,Generation,PDB. | (14) G.M. Commercial Operation |  |  | (20) Director,Public Relation,PDB. | (26) Executive Eng. EMD.
 | Ministry of Power,Energy & Mineral |  | (5) Chairman, BPDB. |  |  | (10) Member,Distribution,PDB. | (15) C.E. Generation,PDB. |  |  | (21) Director Program, PDB. | (27) NLDC
 | Resources, GOB. |  | (6) Managing  Director, PGCB. |  |  | (11) Member,Transmission & | (16) C.E, (P & D),PDB. |  |  | (22) S.E. Consumer Affairs,PDB.
 | (2) Secy (Power Divn.)Ministry of |  | (7) Member(Power & Industry) |  |  | System Operation,PDB. | (17) C.E. System Operation,PGCB |  |  | (23) Director,Project Planning,PDB.
 | Power,Energy & Mineral Resources. |  | Planning Commission. |  |  | (12) Member,P&D,PDB. | (18) C.E. Transmission (1&2) PGCB. |  |  | (24) Director,System Planning,PDB.
 | (3) Director General,Power cell |  | (8) Executive Director (O & M) PGCB. |  |  | (13) C.E (P & D), PGCB. | (19) S.E. System Protection,PGCB. |  |  | (25)  Executive Eng.IMD.
## Sheet: P4
 | Power Grid Bangladesh PLC
 | National Load Dispatch Center (NLDC)
 | Hourly Demand, Generation & Load-Shed Report
 | Date : | 27-06-2026
 | Hour | Generation |  | Load-Shed |  | Demand
 | 1900-01-01 | 14749.76 |  | 2275 |  | 17127.14
 | 1900-01-01 | 14331.75 |  | 2284 |  | 16718.75
 | 1900-01-01 | 14156.73 |  | 2277 |  | 16535.73
 | 1900-01-01 | 13951.42 |  | 2156 |  | 16204.42
 | 1900-01-01 | 13893.95 |  | 2050 |  | 16035.95
 | 1900-01-01 | 13818.62 |  | 1989 |  | 15897.62
 | 1900-01-01 | 13469.79 |  | 1651 |  | 15195.09
 | 1900-01-01 | 13598.5 |  | 861 |  | 14498.5
 | 1900-01-01 | 13586.07 |  | 655 |  | 14270.55
 | 1900-01-01 | 13201.11 |  | 643 |  | 13873.05
 | 1900-01-01 | 13286.22 |  | 548 |  | 13858.88
 | 1900-01-01 | 13278.25 |  | 789 |  | 14102.76
 | 1900-01-01 | 13725.37 |  | 1058 |  | 14831.37
 | 1900-01-01 | 13791.69 |  | 1308 |  | 15158.69
 | 1900-01-01 | 13738.03 |  | 1739 |  | 15555.03
 | 1900-01-01 | 13955.67 |  | 2069 |  | 16117.67
 | 1900-01-01 | 13811.88 |  | 2054 |  | 15957.88
 | 1900-01-01 | 13940.96 |  | 2048 |  | 16080.96
 | 1900-01-01 | 13966.9 |  | 1808 |  | 15855.9
 | 1900-01-01 | 14964.92 |  | 2127 |  | 17187.64
 | 1900-01-01 | 15022.96 |  | 2630 |  | 17770.96
 | 1900-01-01 | 14922.19 |  | 2685 |  | 17728.19
 | 1900-01-01 | 15298.25 |  | 2874 |  | 18301.25
 | 1900-01-01 | 15348.44 |  | 2386 |  | 17841.44
 | 1900-01-01 | 15268.26 |  | 2450 |  | 17828.26
 | Sub-Divisional Engineer |  |  |  | Executive Engineer
 | Network Operation Division |  |  |  | Network Operation Division
## Sheet: EWIC
 |  |  |  |  |  |  |  |  |  |  | QF-LDC-40
Power Grid Bangladesh PLC
National Load Dispatch Center (NLDC)
East-West Interconnector Log
Date: | 27-06-2026
EWIC | Ishurdi-Ghorashal |  | Sirajganj-Sreepur |  | Gopalganj-Aminbazar |  | Line |  | Export/Import |  | Energy (MkWHr)
Time | MW | MVAR | MW | MVAR | MW | MVAR
1900-01-01 | 162 | 16 | 520 | 92 | 1946 | 342 | Ishurdi-Ghorashal Ckt-1 |  | Export |  | 0
1900-01-01 | 139 | 2 | 510 | 90 | 2016 | 354
1900-01-01 | 134 | 10 | 556 | 94 | 2040 | 358 |  |  | Import |  | 0
1900-01-01 | 134 | 14 | 554 | 104 | 2048 | 360
1900-01-01 | 136 | 5 | 558 | 88 | 2072 | 356 | Ishurdi-Ghorashal Ckt-2 |  | Export |  | 0
1900-01-01 | 147 | 11 | 566 | 112 | 2120 | 400
1900-01-01 | 158 | 18 | 586 | 118 | 2120 | 400 |  |  | Import |  | 0
1900-01-01 | 154 | 12 | 596 | 124 | 2090 | 430
1900-01-01 | 187 | 33 | 640 | 140 | 2118 | 578 | Sirajganj-Sreepur Ckt-1 |  | Export |  | 3525000
1900-01-01 | 218 | 56 | 666 | 148 | 2088 | 610
1900-01-01 | 219 | 52 | 712 | 164 | 1972 | 566 |  |  | Import |  | 0
1900-01-01 | 217 | 48 | 696 | 162 | 1960 | 544
1900-01-01 | 197 | 39 | 640 | 154 | 1970 | 500 | Sirajganj-Sreepur Ckt-2 |  | Export |  | 3533000
1900-01-01 | 216 | 57 | 688 | 164 | 2106 | 560
1900-01-01 | 193 | 45 | 622 | 154 | 1970 | 528 |  |  | Import |  | 0
1900-01-01 | 202 | 56 | 656 | 172 | 1934 | 512
1900-01-01 | 187 | 43 | 620 | 150 | 1856 | 514 | Gopalganj-Aminbazar Ckt-1 |  | Export |  | 22410000
1900-01-01 | 180 | 37 | 634 | 174 | 1852 | 496
1900-01-01 | 176 | 36 | 616 | 136 | 1780 | 482 |  |  | Import |  | 0
1900-01-01 | 188 | 52 | 630 | 180 | 1800 | 526
1900-01-01 | 180 | 45 | 600 | 154 | 1736 | 516 | Gopalganj-Aminbazar Ckt-2 |  | Export |  | 22450000
1900-01-01 | 162 | 35 | 550 | 120 | 1690 | 508
1900-01-01 | 155 | 38 | 500 | 108 | 1610 | 478 |  |  | Import |  | 0
1900-01-01 | 131 | 37 | 462 | 158 | 1600 | 472
1900-01-01 | 131 | 33 | 460 | 162 | 1470 | 424 |  |  | Total Export |  | 51918000
1900-01-01 | 124 | 30 | 434 | 156 | 1484 | 434 |  |  | Total Import |  | 0
 | ***Positive MW indicates power flow from West to East, and negative MW indicates flow from East to West.
 |  | Sub-Divisional Engineer |  |  |  |  | Executive Engineer
 |  | Network Operation Division |  |  |  |  | Network Operation Division
## Sheet: L-Curve
 |  |  |  |  |  |  |  |  |  |  |  | QF-LDC-11
Date | 27-06-2026 |  |  |  | Power Grid Bangladesh PLC
TIME | EAST GRID | WEST GRID | TOTAL |  | National Load Dispatch Center (NLDC)
00:00 | 6996 | 7753.76 | 14749.76 |  | DAILY GENERATION CURVE
00:30 | 6888.5 | 7652.255 | 14540.755
01:00 | 6781 | 7550.75 | 14331.75 |  | 27-06-2026
01:30 | 6723.5 | 7520.74 | 14244.24
02:00 | 6666 | 7490.73 | 14156.73
02:30 | 6571 | 7483.075 | 14054.075
03:00 | 6476 | 7475.42 | 13951.42
03:30 | 6432.5 | 7490.185 | 13922.685
04:00 | 6389 | 7504.95 | 13893.95
04:30 | 6344 | 7512.285 | 13856.285
05:00 | 6299 | 7519.62 | 13818.62
05:30 | 6212.46 | 7431.745 | 13644.205
06:00 | 6125.92 | 7343.87 | 13469.79
06:30 | 6134.395 | 7399.75 | 13534.145
07:00 | 6142.87 | 7455.63 | 13598.5
07:30 | 6162.615 | 7429.67 | 13592.285
08:00 | 6182.36 | 7403.71 | 13586.07
08:30 | 6188.94 | 7204.65 | 13393.59
09:00 | 6195.52 | 7005.59 | 13201.11
09:30 | 6334.71 | 6908.955 | 13243.665
10:00 | 6473.9 | 6812.32 | 13286.22
10:30 | 6459.84 | 6822.395 | 13282.235
11:00 | 6445.78 | 6832.47 | 13278.25
11:30 | 6532.76 | 6969.05 | 13501.81
12:00 | 6619.74 | 7105.63 | 13725.37
12:30 | 6641.63 | 7116.9 | 13758.53
13:00 | 6663.52 | 7128.17 | 13791.69
13:30 | 6697.29 | 7067.57 | 13764.86
14:00 | 6731.06 | 7006.97 | 13738.03
14:30 | 6814.57 | 7032.28 | 13846.85
15:00 | 6898.08 | 7057.59 | 13955.67
15:30 | 6883.74 | 7000.035 | 13883.775
16:00 | 6869.4 | 6942.48 | 13811.88
16:30 | 6971.285 | 6905.135 | 13876.42
17:00 | 7073.17 | 6867.79 | 13940.96
17:30 | 7143.905 | 6810.025 | 13953.93
18:00 | 7214.64 | 6752.26 | 13966.9
18:30 | 7535.57 | 6930.34 | 14465.91
19:00 | 7856.5 | 7108.42 | 14964.92
19:30 | 7950.86 | 7072.1 | 15022.96
20:00 | 7974.86 | 6947.33 | 14922.19
20:30 | 8078.36 | 7031.86 | 15110.22 |  |  |  |  |  | Executive Engineer
21:00 | 8181.86 | 7116.39 | 15298.25 |  |  |  |  |  | Network Operation Division
21:30 | 8215.18 | 7108.165 | 15323.345
22:00 | 8248.5 | 7099.94 | 15348.44
22:30 | 8272 | 7036.35 | 15308.35
23:00 | 8295.5 | 6972.76 | 15268.26
## Sheet: En-Curve
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | QF-LDC-12
Date | 27-06-2026 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Power Grid Bangladesh PLC
TIME | Gas-Public | Gas-Pvt | HVDC | Nepal | Tripura | Adani | Hydro | Coal | Solar | HFO-Public | HFO-Pvt | HSD-Public | HSD-Pvt | Wind | Shortage |  | National Load Dispatch Center (NLDC)
00:00 | 3375 | 1900 | 902 | 38 | 168 | 1482.76 | 87 | 5175 | 0 | 302 | 1314 | 0 | 0 | 6 | 2275 |  | DAILY  ENERGY  CURVE
00:30 | 3381 | 1909.5 | 902 | 38 | 167 | 1479.255 | 87 | 5106.5 | 0 | 248 | 1215.5 | 0 | 0 | 7 | 2279.5 |  | 27-06-2026
01:00 | 3387 | 1919 | 902 | 38 | 166 | 1475.75 | 87 | 5038 | 0 | 194 | 1117 | 0 | 0 | 8 | 2284
01:30 | 3435.5 | 1938 | 863 | 38 | 165 | 1479.24 | 87 | 5042.5 | 0 | 173.5 | 1016 | 0 | 0 | 6.5 | 2280.5 |  | Energy Generated |  |  | 340.18957446 |  |  | MKWHr
02:00 | 3484 | 1957 | 824 | 38 | 164 | 1482.73 | 87 | 5047 | 0 | 153 | 915 | 0 | 0 | 5 | 2277 |  | Energy not Served |  |  | 42.784 |  |  | MKWHr
02:30 | 3486 | 1964.5 | 824 | 38 | 160 | 1483.075 | 88 | 5019 | 0 | 143 | 843 | 0 | 0 | 5.5 | 2216.5 |  | Total Energy Requirement |  |  | 382.97357446 |  |  | MKWHr
03:00 | 3488 | 1972 | 824 | 38 | 156 | 1483.42 | 89 | 4991 | 0 | 133 | 771 | 0 | 0 | 6 | 2156
03:30 | 3474 | 1941.5 | 857 | 38 | 156 | 1487.185 | 89 | 4985.5 | 0 | 137.5 | 749 | 0 | 0 | 8 | 2103
04:00 | 3460 | 1911 | 890 | 38 | 156 | 1490.95 | 89 | 4980 | 0 | 142 | 727 | 0 | 0 | 10 | 2050
